==========================================================================================
  HUAWEI FIRMWARE ROOTFS BINARY LIST
  Source: https://github.com/Uaemextop/realfirmware-net
  Extracted from: HG8145V5, HG8245Q, HG8247H5, HG8247H
==========================================================================================

Binary Name                    Path                            Size  Models  MD5
------------------------------------------------------------------------------------------
Bbspcmd                        /bin/Bbspcmd                   5,404      4  b592ffa9a6490c5cae181ee24c22a7a2
ConvertLog2Dst                 /bin/ConvertLog2Dst            9,500      4  d90e32aba34830451c97b761d18ce2f5
Customize                      /bin/Customize                25,936      4  c94a5ef3a34311e3c97af691b41d224b
HwQoETest                      /bin/HwQoETest                25,884      2  5cd762eb4135fd2f172285167670c089
[                              /bin/[                     2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
[[                             /bin/[[                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
acs_cli                        /bin/acs_cli                  26,328      2  93c01db9b37f03c94b2fa5ae6dcd294a
acsd                           /bin/acsd                    100,692      2  b4921fba5f69cbf94cad970efde3177a
addgroup                       /bin/addgroup              2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
adduser                        /bin/adduser               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
aescrypt2                      /bin/aescrypt2                17,692      4  b5027f942e6cbe8ce9cb00a2b963162f
aiscli                         /bin/aiscli                   13,628      1  92cd9fe53343f8c0aa9abfb83930e0da
aismesh                        /bin/aismesh                  17,692      1  90a0c28c47306ef3a262cce63952d36e
amp                            /bin/amp                     154,592      4  0c060f3e448b640c67c2571646265499
ampcmd                         /bin/ampcmd                    5,404      4  adb1b855ad62571f25511d35e49bd167
ampqoe                         /bin/ampqoe                    9,500      3  021476ce2dc2f122aa9d6280c204614c
apm                            /bin/apm                      50,608      4  b3db1d22f5484877333161a15e33a58b
app_acs                        /bin/app_acs                 135,688      1  2bbff897c567eb8dd160ddd9a7a92696
app_m                          /bin/app_m                   347,296      3  760b99d94b4d1ea478e9c8580c373ef4
app_nlc                        /bin/app_nlc                  21,680      1  b04fe736e75e65951f42361a07007670
app_sdt                        /bin/app_sdt                  43,796      1  d2f0e435ed2dbaaeaf26c2eec0373ed6
appmcmd                        /bin/appmcmd                   5,404      3  6557770bcef15d7ba4ef0ba0af46d842
apstats                        /bin/apstats                  30,016      1  acfdb676a4ebf74c74c3fdf3d6331c32
arping                         /bin/arping                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
arping_ex                      /bin/arping_ex                13,596      1  422e40870f30d343d198569eac36f96a
ash                            /bin/ash                   2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
ated                           /bin/ated                     13,932      1  3bcf41f8d041cd0226f0fd06a4c487bf
athstats                       /bin/athstats                 29,872      1  4b2edc185c5918c37883c052ff1926dc
athstatsclr                    /bin/athstatsclr               5,244      1  effcd1aaac2ce010d41cbe25ad238e3a
athtestcmd                     /bin/athtestcmd               86,036      1  99b5202b5f3307645b77b62854f6b91e
audit                          /bin/audit                    38,196      1  56fa88bb81bcb3bb51609560a04cd192
auth                           /bin/auth                    101,576      1  ebceb27aa13d6a7046867e1a08f5a2b9
awifi                          /bin/awifi                     9,500      4  762d77532bad1ec7a245e3b31ea49b03
awk                            /bin/awk                   2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
backupKey                      /bin/backupKey                 9,500      1  1b6ca8b7bede1ea09f860b3daaefe3ff
basename                       /bin/basename              2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
bbsp                           /bin/bbsp                     88,128      4  819280a51938514ae3bbff711a5d975f
bftpd                          /bin/bftpd                   115,992      4  6232e172fc14bf7069aeb31b3869a6b0
busybox                        /bin/busybox                 648,396      4  5c7da1736c5e036ce42cb2a505885d01
busybox.nosuid                 /bin/busybox.nosuid          648,396      1  5c7da1736c5e036ce42cb2a505885d01
cagent                         /bin/cagent                   71,392      1  e7a381904f2ee1afbdac88875ed273df
cat                            /bin/cat                   2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
cfgreserve                     /bin/cfgreserve               13,612      1  a77131e40b783036352bcb55fc256fb8
cfgtool                        /bin/cfgtool                  13,920      4  b02026a2b5d36bb242babae9ac3a0e22
cfgtoolc                       /bin/cfgtoolc                  9,500      4  fe9353ef4fac79fe9bdba7b225fe4afa
cfgtools                       /bin/cfgtools                 13,596      4  2d656b65c3eab0eb4b68d13b8e6a3425
check                          /bin/check                   235,900      1  de187f025febe311e4ea83ebff4b3174
chgrp                          /bin/chgrp                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
chmod                          /bin/chmod                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
chown                          /bin/chown                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
clear                          /bin/clear                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
clid                           /bin/clid                    183,008      4  76c5976a49ab3ca3c87c12f030d40346
cmp                            /bin/cmp                   2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
cms                            /bin/cms                      21,860      1  d1dbb167825dc752efac8338c3491c3a
collect_exe                    /bin/collect_exe              13,596      4  267315bfdea2d32167d3e8186876d76f
collect_pipe                   /bin/collect_pipe              9,500      4  ee22827443661341bbc1b314a43efcdb
cominfo                        /bin/cominfo                   9,524      1  574a67a18d419b57566e91994caab006
comm                           /bin/comm                     30,104      1  ce21d319a0039fd5b4ebdd9a6b60771a
cp                             /bin/cp                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
cpulimit                       /bin/cpulimit                 26,348      1  13e8839598e2dd168abe38939cf7d870
cttyhack                       /bin/cttyhack              2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
cupsd                          /bin/cupsd                   358,048      4  8d704a51f6f35af26c076f539b5031db
cut                            /bin/cut                   2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
cwmp                           /bin/cwmp                     63,380      4  38630b19cd9e13e8681ee5d4a34cfc94
dataview                       /bin/dataview                 17,692      1  6432e6c8e7dcf9109e946396fd2f2653
date                           /bin/date                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
dd                             /bin/dd                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
ddnsc                          /bin/ddnsc                    50,848      1  b8a6c89d58fec42a59ae2f5dd419080f
decrypt_boardinfo              /bin/decrypt_boardinfo         5,404      1  fbe8cd4f073ea9c2dc6aaf4f5635e875
delgroup                       /bin/delgroup              2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
deluser                        /bin/deluser               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
df                             /bin/df                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
diff                           /bin/diff                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
dirname                        /bin/dirname               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
dmesg                          /bin/dmesg                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
dms                            /bin/dms                      87,664      4  80812c5e576a0e9a4c166712a170fd57
dnsdomainname                  /bin/dnsdomainname         2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
dot1x                          /bin/dot1x                   265,012      1  c1c832d8f3c4523416b228a23eae1aed
dropbear                       /bin/dropbear                251,616      4  47d91fda3255c972284df6aeef9adcaf
dropbearkey                    /bin/dropbearkey             136,552      4  c31318653cde43882ee4ce39d3c8285c
eapd                           /bin/eapd                     84,168      2  217080db94c2144881d9313f9f158d2d
easymesh                       /bin/easymesh                  5,404      1  3181b2ef0b18c79d2e54991cfe8f4c3e
echo                           /bin/echo                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
egrep                          /bin/egrep                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
eject                          /bin/eject                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
em_dut                         /bin/em_dut                   17,816      1  31be6cc6531082aabc2bb2c23c1d7688
emagent                        /bin/emagent                   5,404      1  a6693d5089a2279c72a61bcf36d404f7
emdi                           /bin/emdi                      9,556      1  683589fbb795c532b8899789755bc861
ethoam                         /bin/ethoam                   50,604      4  74dc142ef18385c037ed093af4643522
