0x0000f11c: 'HW_OS_CheckPass'
0x0000f12c: 'HW_OS_CheckCertPwdComplex'
0x00010129: 'HW_OS_GetSaltStrForPbkdf2'
0x00010192: 'HW_OS_PBKDF2_SHA256'
0x000101a6: 'HW_AES_ECB'
0x000101b1: 'HW_SSL_AesSetKeyDec'
0x000101c5: 'HW_SSL_AesSetKeyEnc'
0x000101d9: 'HW_SSL_AesCryptEcb'
0x000101ec: 'HW_AES_CMAC'
0x000101f8: 'HW_SSL_AesCmac'
0x00010f12: 'HW_OS_SemGetByKey'
0x00011017: 'HW_KMC_GetActiveKey'
0x0001102b: 'HW_KMC_GetAppointKey'
0x0001104f: 'HW_AES_GetCBCKey'
0x00011060: 'HW_AES_LongToAesEnhSys'
0x00011077: 'HW_OS_AESCalPSWLen'
0x0001108a: 'HW_OS_AESCBCCalPSWLen'
0x000110a0: 'HW_AES_GenerateRandPwdKey'
0x000110ba: 'g_auiRandomSaltPos_AES256'
0x000110d4: 'HW_AES_AscUnvisible'
0x000110e8: 'HW_AES_BinToPlain'
0x000110fa: 'HW_AES_AscVisible'
0x0001110c: 'HW_AES_BinToPlainEx'
0x00011120: 'HW_AES_AesEnhSysToLong'
0x00011137: 'HW_AES_PlainToBin'
0x00011149: 'HW_AES_PlainToBinEx'
0x00011176: 'HW_OS_AESEncrypt'
0x00011187: 'HW_OS_AESCBCEncrypt'
0x0001119b: 'HW_SSL_AesCryptCbc'
0x000111ae: 'HW_OS_AESDecrypt'
0x000111bf: 'HW_OS_AESCBCDecrypt'
0x000111d3: 'HW_OS_AESEncryptWithKey_Ex'
0x000111ee: 'HW_OS_AESEncryptWithKey'
0x0001121c: 'HW_OS_AESDecryptWithKey_Ex'
0x00011237: 'HW_OS_AESDecryptWithKey'
0x0001125f: 'HW_KMC_Hmac_Check'
0x00011271: 'HW_KMC_Decrypt'
0x00011280: 'HW_OS_AESEncrypt_Ex'
0x00011294: 'HW_OS_AESDecrypt_Ex'
0x00012625: 'HW_LOG_FormatObjKeyInfo'
0x000128ca: 'HW_SSL_Aes128'
0x000128fd: 'HW_SSL_GensubKey'
