  0x0000b1ec  HW_SWM_CreatNoSaveFile
  0x0000b1f8  HW_OS_GetPidByName
  0x0000b204  HW_SWM_ResetItemPartitionInfo
  0x0000b210  HW_SWM_GetCommitAreaInMsMode
  0x0000b21c  HW_DM_WriteL2Boot
  0x0000b228  ExtItem_PrintNodeInfo
  0x0000b234  HW_XML_AddChildNode
  0x0000b240  HW_SWM_CmpVer
  0x0000b24c  HW_XML_DBFreeList
  0x0000b258  HW_SWM_EfuseSigCheckCore
  0x0000b264  HW_XML_NewNode
  0x0000b270  HW_SWM_StartDeal
  0x0000b27c  HW_SWM_CopyFileToMtd
  0x0000b288  HW_CWMP_ParseCwmpCert
  0x0000b294  HW_OS_ZipEx
  0x0000b2a0  HW_XML_GetFirstChild
  0x0000b2ac  HW_OS_PthreadCreate
  0x0000b2b8  HW_SSL_Sha2Start
  0x0000b2c4  HW_OS_MkDir
  0x0000b2d0  HW_XML_DBSaveClear
  0x0000b2dc  HW_SWM_VerifyItemCrc
  0x0000b2e8  SWM_SIG_CmpHash
  0x0000b2f4  HW_SWM_LoadCertEncrypt
  0x0000b300  HW_CWMP_SendAlarm
  0x0000b30c  HW_OS_Fopen
  0x0000b318  HW_SWM_AdaptePathAddObj
  0x0000b324  HW_SWM_ResetBuffer
  0x0000b330  HW_SWM_ChangPartitionBootStatus
  0x0000b33c  HW_SWM_GetItemProc
  0x0000b348  HW_SWM_SpecialProcTelia
  0x0000b354  HW_SWM_GetBufferFreeSize
  0x0000b360  HW_SWM_FreeExtItemCtrl
  0x0000b36c  HW_SWM_SEGMENT_ProcDataState
  0x0000b378  HW_SWM_SaveModuleDesc
  0x0000b384  HW_SWM_GetFatherPath
  0x0000b390  HW_OS_OpenDir
  0x0000b39c  HW_SSL_Sha2File
  0x0000b3a8  HW_SWM_BackupSuccess
  0x0000b3b4  HW_SWM_ResetDynDestPartition
  0x0000b3c0  HW_SWM_EndDeal
  0x0000b3cc  HW_SWM_CleanDhcpdLog
  0x0000b3d8  HW_SWM_NotEnoughSpaceProcess
  0x0000b3e4  HW_SWM_IsWriteToFlash
  0x0000b3f0  HW_SWM_CwmpLoadProcCfg
  0x0000b3fc  HW_SSL_Sha2Update
  0x0000b408  HW_XML_DBGetSiglePara
