appname,appid,pps,common,bpon_common
Thunder,1,3,N,Y
BitTorrent,1,3,N,Y
WangZheRongYao,2,3,Y,Y
CrossFire,2,3,Y,N
DiWuRenGe,2,3,Y,N
ClashRoyale,2,3,Y,N
QQCar,2,3,Y,N
HearthStone,2,3,Y,N
HePingJingYing,2,3,Y,Y
HuangYeXingDong,2,3,Y,N
WeFire,2,3,Y,N
QuanMinFeiJiDaZhan,2,3,Y,N
QQDancer,2,3,Y,N
ClashOfClans,2,3,Y,N
LuanShiWangZhe,2,3,Y,N
YuanShen,2,3,Y,N
QIYI,4,10,Y,Y
QQLive,4,10,Y,Y
YouKu,4,10,Y,Y
Bilibili,4,10,Y,N
DouYin,4,10,Y,N
NowZhiBo,4,10,Y,N
HuoShanXiaoShiPin,4,10,Y,N
KuaiShou,4,10,Y,N
MangGuoTV,4,10,Y,N
DouYuTV,4,10,Y,N
HuYa,4,10,Y,N
CNTV,4,10,Y,N
XiGuaShiPin,4,10,Y,N
Weipaitang,4,10,Y,N
XiaoHongShu,4,10,Y,N
TanTan,4,10,Y,N
JingDongShangChengLive,4,10,Y,N
YYLive,4,10,Y,N
WeiXinLive,4,10,Y,N
TencentLive,4,10,Y,N
BaiDuZhiBo,4,10,Y,N
JinRiTouTiaoZhiBo,4,10,Y,N
ZhuBaoYi,4,10,Y,N
DuiZhuang,4,10,Y,N
TianTianJianBao,4,10,Y,N
FeiCuiWangChao,4,10,Y,N
YiJianZhiBo,4,10,Y,N
WanWuDeZhi,4,10,Y,N
VIPKID,6,5,Y,N
YuanFuDao,6,5,Y,N
51Talk,6,5,Y,N
XueErSiWangXiao,6,5,Y,N
QiYeWelink,8,1,Y,N
Zoom,8,1,Y,N
DingDing,8,1,Y,N
WeiXin,10,1,Y,N
QQ,10,1,Y,Y
Alipay,11,1,Y,N
XiaoMi_AppStore,13,10,Y,N
HuaWei_AppStore,13,10,Y,N
OPPO_AppStore,13,10,Y,N
Vivo_AppStore,13,10,Y,N
AppStore,13,10,Y,N
YingYongBao,13,10,Y,N
MeiZuYingYongShangDian,13,10,Y,N
Samsungapps,13,10,Y,N
