appname,appid,subprotoid,subprotoname,agetype,acctype,common,bpon_common
Thunder,1,106,Thunder,0,0,N,Y
Thunder,1,3024,Thunder_Encrypted,0,0,N,Y
Thunder,1,3033,Thunder_HTTP_Download,0,0,N,Y
BitTorrent,1,11,BitTorrent_Data_TCP,0,0,N,Y
BitTorrent,1,12,BitTorrent_Tracker_UDP,0,0,N,Y
BitTorrent,1,13,BitTorrent_Tracker_HTTP,0,0,N,Y
BitTorrent,1,14,BitTorrent_DHT_Control,0,0,N,Y
BitTorrent,1,16,BitTorrent_Data_UDP,0,0,N,Y
BitTorrent,1,17,BitTorrent_Data_UDP_Encrypted,0,0,N,Y
BitTorrent,1,18,BitTorrent_Data_TCP_Encrypted,0,0,N,Y
BitTorrent,1,21,BitTorrent_Data_HTTP,0,0,N,Y
BitTorrent,1,1802,BitTorrent_UTP,0,0,N,Y
WangZheRongYao,2,5315,WangZheRongYao,0,0,Y,Y
WangZheRongYao,2,7575,WangZheRongYao_LongLinks,0,0,Y,Y
WangZheRongYao,2,9310,WangZheRongYao_UDPHeartBeat,0,0,Y,Y
WangZheRongYao,2,9918,WangZheRongYao_Game,0,0,Y,Y
WOW,2,1776,WOW,0,0,Y,N
WOW,2,346,WOW_HTTP,0,0,Y,N
LOL,2,2924,LOL,0,0,Y,N
LOL,2,8060,LOL_HeartBeat,0,0,Y,N
LOL,2,9886,LOL_Voice,0,0,Y,N
LOL,2,9891,LOL_Game,0,0,Y,N
CrossFire,2,37570,CrossFire,0,0,Y,N
CrossFire,2,416,CrossFire_GameData,0,0,Y,N
Fortnite,2,7739,Fortnite,0,0,Y,N
Fortnite,2,37902,Fortnite_Game,0,0,Y,N
StarCraft,2,3316,StarCraft,0,0,Y,N
PUBG,2,7845,PUBG,0,0,Y,N
PUBG,2,9657,PUBG_Gaming,0,0,Y,N
OverWatch,2,6744,OverWatch,0,0,Y,N
OverWatch,2,9898,OverWatch_HeartBeat,0,0,Y,N
OverWatch,2,37534,OverWatch_Game,0,0,Y,N
DiWuRenGe,2,8300,DiWuRenGe,0,0,Y,N
DiWuRenGe,2,37885,DiWuRenGe_Game,0,0,Y,N
ClashRoyale,2,6176,ClashRoyale,0,0,Y,N
ClashRoyale,2,37977,ClashRoyale_Game,0,0,Y,N
QQCar,2,683,QQCar,0,0,Y,N
QQCar,2,37878,QQCar_Game,0,0,Y,N
FreeFire,2,7913,FreeFire,0,0,Y,N
FreeFire,2,38678,FreeFire_Game,0,0,Y,N
WorldOfTanks,2,5972,World_Of_Tanks,0,0,Y,N
WorldOfTanks,2,37568,World_Of_Tanks_Game,0,0,Y,N
WorldOfWarships,2,9921,WorldOfWarships,0,0,Y,N
WorldOfWarships,2,38807,WorldOfWarships_Game,0,0,Y,N
RainbowSix,2,9724,RainbowSix,0,0,Y,N
RainbowSix,2,38862,RainbowSix_Game,0,0,Y,N
Minecraft,2,3616,Minecraft,0,0,Y,N
Minecraft,2,37996,Minecraft_Game,0,0,Y,N
HearthStone,2,6304,HearthStone,0,0,Y,N
HearthStone,2,38648,HearthStone_Game,0,0,Y,N
CSGO,2,866,Valve_Steam_Tracker_UDP,0,0,Y,N
CSGO,2,9907,Valve_Steam_Gaming,0,0,Y,N
GTA5,2,6445,GTA5,0,0,Y,N
GTA5,2,37536,GTA5_Game,0,0,Y,N
ApexLegends,2,9754,ApexLegends,0,0,Y,N
ApexLegends,2,38113,ApexLegends_Game,0,0,Y,N
Dota2,2,2181,Dota2,0,0,Y,N
Dota2,2,37542,Dota2_Game,0,0,Y,N
Warface,2,9706,Warface,0,0,Y,N
Destiny2,2,9972,Destiny2,0,0,Y,N
RocketLeague,2,38210,RocketLeague,0,0,Y,N
RocketLeague,2,38896,RocketLeague_Game,0,0,Y,N
HePingJingYing,2,7832,HePingJingYing,0,0,Y,Y
HePingJingYing,2,8063,HePingJingYing_HeartBeat,0,0,Y,Y
HePingJingYing,2,8411,HePingJingYing_UDPHeartBeat,0,0,Y,Y
HePingJingYing,2,37223,HePingJingYing_Game,0,0,Y,Y
FIFA20,2,6243,EaFIFA,0,0,Y,N
FIFA20,2,38259,FIFA20,0,0,Y,N
FIFA20,2,38799,FIFA20_Game,0,0,Y,N
FIFA20,2,38980,EaFIFA_Game,0,0,Y,N
PlayStation,2,1368,PlayStation_Comm,1,1,Y,N
